Name,v_half,current_density,slope_factor,tau_fast
control_1,-88.94719,15.7948036,9.07683,122.3
control_2,-87.59674,17.65859285,8.88349,109.7
control_3,-93.74112,20.54304741,11.23057,140.1
control_4,-92.51643,10.71010638,10.23426,117.4
control_5,-85.90747,15.73568674,8.44917,110.3
control_6,-87.84902,24.70434783,8.26315,127.4
control_7,-89.06666,14.40542255,6.90403,103.5
BAFin_1,-88.9626,16.32978723,9.3801,133.7
BAFin_2,-95.84941,11.26035441,10.28424,158.8
BAFin_3,-92.02822,8.749009038,12.02335,138.3
BAFin_4,-93.00158,7.632446809,12.00429,129.7
BAFin_5,-89.86198,13.16864432,11.7652,113.1
BAFin_6,-90.59951,16.82282609,8.62481,148.8
BAFin_7,-86.08472,13.09180276,7.26524,93.81
BAFout_1,-90.00731,16.10065466,9.5215,147.1
BAFout_2,-91.85191,10.63646849,6.15779,170.1
BAFout_3,-92.99222,7.276201046,13.07617,148.7
BAFout_4,-92.02113,7.509308511,14.17295,125.6
BAFout_5,-90.21017,14.07964996,11.81204,98.44
BAFout_6,-101.83954,11.8426087,7.81704,203.1
BAFout_7,-87.02037,12.79927065,7.51624,112.7
