Name,v_half,current_density,slope_factor,tau_fast
control_1,-85.55212,10.111429,12.41857,172.4
control_2,-89.25903,9.343539396,14.21653,83.09
control_3,-97,11.23579341,11.73269,68.11
control_4,-98.86751,12.17278382,13.96710,75.31
control_5,-78.35244,6.208326932,11.29441,72.83
control_6,-91.94668,11.1086766,11.73512,103.6
control_7,-87.61482,7.9032391,11.96469,70.49
control_8,-90.14052,13.05044035,11.01079,106.5
control_9,-84.72542,9.668267132,11.30417,96.25
control_10,-90.05432,9.114119923,12.03331,79.65
control_11,-85.51912,13.31420373,11.71084,131.8
control_12,-81.49554,8.034433286,10.38659,153.4
controlDRF_1,-84.16365,9.267610014,10.80967,71.02
controlDRF_2,-78.13596,8.566555886,11.97565,185
controlDRF_3,-87.36241,7.871625985,10.1238,107
controlDRF_4,-94.39617,11.31990185,11.77124,72.6
controlDRF_5,-77.05408,5.283732661,11.20146,80.87
controlDRF_6,-89.69845,11.52794334,11.6511,104.2
controlDRF_7,-92.50527,11.45914397,21.16685,75.02
controlDRF_8,-85.80293,11.15036093,11.5151,97.65
controlDRF_9,-86.79075,10.49560633,12.27156,100.3
controlDRF_10,-87.03445,14.41792941,10.23233,83.92
controlDRF_11,-80.52832,14.01617251,10.99743,122.3
controlDRF_12,-82.54196,7.388335386,11.55243,152.6
CPZ1_1,-86.81769,11.98511323,9.53101,118
CPZ1_2,-84.63292,14.81883076,10.05435,121.7
CPZ1_3,-90.35281,6.432169384,10.54407,139.1
CPZ1_4,-88.71109,10.38527475,9.80849,93.52
CPZ1_5,-86.53933,8.562614641,11.75574,102.3
CPZ1_6,-84.4353,8.803259721,9.86579,138.9
CPZ1_7,-76.55104,14.26786086,9.27399,89.37
CPZ1_8,-87.40281,10.60199854,9.71926,157.8
CPZ1_9,-88.09937,12.42583678,16.93978,230.2
CPZ1DRF_1,-86.7386,11.95273547,10.39109,101.5
CPZ1DRF_2,-86.41495,7.119338442,12.6763,103.7
CPZ1DRF_3,-96.41541,4.826221202,11.71372,147.7
CPZ1DRF_4,-89.93459,8.598321038,10.31741,91.38
CPZ1DRF_5,-86.18567,6.871070293,13.70167,110.1
CPZ1DRF_6,-76.2792,8.451129332,8.50111,101.2
CPZ1DRF_7,-77.06521,13.95542595,11.1233,94.43
CPZ1DRF_8,-88.88006,9.700648694,10.9744,170.4
CPZ1DRF_9,-84.49626,12.85509326,21.80261,201.4
CPZ7_1,-96.73253,15.7078949,10.59935,68.12
CPZ7_2,-92.96909,15.98371777,12.38832,71.57
CPZ7_3,-96.21565,12.15189873,9.55256,124
CPZ7_4,-92.6784,16.24278359,11.50412,101.9
CPZ7_5,-91.99482,18.52901398,12.3639,90.36
CPZ7_6,-92.16356,10.58439266,9.34623,117.5
CPZ7_7,-94.60372,10.15026517,9.65371,134.5
CPZ7_8,-81.9203,17.26079889,13.11018,115.1
CPZ7DRF_1,-98.73481,13.68286445,11.52286,78.17
CPZ7DRF_2,-97.27603,15.19283747,11.20444,73.54
CPZ7DRF_3,-90.22827,9.015496809,10.95065,125.1
CPZ7DRF_4,-88.43852,5.702416918,10.45928,236.9
CPZ7DRF_5,-88.39022,16.01069452,11.41957,116.7
CPZ7DRF_6,-90.51533,7.383521334,12.03253,101.6
CPZ7DRF_7,-91.75453,8.688711517,11.34225,89.96
CPZ7DRF_8,-73.47033,12.93426946,11.43663,119.8
CPZ25_1,-90.31059,7.333125714,12.03284,101.7
CPZ25_2,-90.93319,15.32246927,10.84253,89.6
CPZ25_3,-89.77994,8.780487805,13.90492,130.4
CPZ25_4,-92.19993,9.930171397,12.48627,147.9
CPZ25_5,-87.61748,8.381689233,10.60855,139.2
CPZ25_6,-89.36122,10.16855485,11.09059,221.3
CPZ25DRF_1,-88.83035,6.807222735,14.23503,127.4
CPZ25DRF_2,-85.26183,15.4543567,10.20327,106.1
CPZ25DRF_3,-89.22556,11.1996554,13.57657,140.9
CPZ25DRF_4,-84.86362,8.697685293,13.22535,119.4
CPZ25DRF_5,-85.39707,6.504065041,11.79438,137.2
CPZ25DRF_6,-87.04,9.328968903,12.86522,212.3
